2020-09-06 13:06:17.5722||DEBUG|uccApiCore2.Program|init main 
2020-09-06 13:06:19.4207||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\deepak raheja\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. 
2020-09-06 13:06:23.5992|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://localhost:5205/api/Users/ValidLogin/   
2020-09-06 13:06:23.5992|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://localhost:5205/api/Users/ValidLogin/   
2020-09-06 13:06:24.0030|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-06 13:06:24.0030|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-06 13:06:24.3816|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 825.5874ms 204  
2020-09-06 13:06:24.3816|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 840.7924ms 204  
2020-09-06 13:06:24.7185|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Users/ValidLogin/ application/json 52 
2020-09-06 13:06:24.7209|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-06 13:06:27.8401|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method uccApiCore2.Controllers.UsersController.ValidLogin (uccApiCore2) with arguments (uccApiCore2.Entities.Users) - ModelState is Valid 
2020-09-06 13:06:31.4798|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ObjectResultExecutor|Executing ObjectResult, writing value Microsoft.AspNetCore.Mvc.ControllerContext. 
2020-09-06 13:06:31.6521|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action uccApiCore2.Controllers.UsersController.ValidLogin (uccApiCore2) in 5503.1578ms 
2020-09-06 13:06:31.7018|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 6983.3625ms 200 application/json; charset=utf-8 
2020-09-06 13:06:32.0300|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://localhost:5205/api/Order/GetDashboardSummary   
2020-09-06 13:06:32.0300|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-06 13:06:32.0337|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 3.707ms 204  
2020-09-06 13:06:32.2730|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Order/GetDashboardSummary application/json 2 
2020-09-06 13:06:32.9843|2|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Successfully validated the token. 
2020-09-06 13:06:32.9944|8|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|AuthenticationScheme: Bearer was successfully authenticated. 
2020-09-06 13:06:32.9944|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-06 13:06:33.0428|1|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization was successful. 
2020-09-06 13:06:33.0428|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method uccApiCore2.Controllers.OrderController.GetDashboardSummary (uccApiCore2) with arguments ((null)) - ModelState is Valid 
2020-09-06 13:06:33.1827|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ObjectResultExecutor|Executing ObjectResult, writing value Microsoft.AspNetCore.Mvc.ControllerContext. 
2020-09-06 13:06:33.2730|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action uccApiCore2.Controllers.OrderController.GetDashboardSummary (uccApiCore2) in 266.4476ms 
2020-09-06 13:06:33.3256|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 1052.5639ms 200 application/json; charset=utf-8 
2020-09-06 13:06:42.3062|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://localhost:5205/api/Fabric/GetAllFabric/   
2020-09-06 13:06:42.3062|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-06 13:06:42.3062|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 7.3029ms 204  
2020-09-06 13:06:42.3235|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Fabric/GetAllFabric/ application/json 14 
2020-09-06 13:06:42.3235|2|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Successfully validated the token. 
2020-09-06 13:06:42.3235|8|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|AuthenticationScheme: Bearer was successfully authenticated. 
2020-09-06 13:06:42.3235|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-06 13:06:42.3379|1|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization was successful. 
2020-09-06 13:06:42.3457|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method uccApiCore2.Controllers.FabricController.GetAllFabric (uccApiCore2) with arguments (uccApiCore2.Entities.Fabric) - ModelState is Valid 
2020-09-06 13:06:42.4571|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ObjectResultExecutor|Executing ObjectResult, writing value Microsoft.AspNetCore.Mvc.ControllerContext. 
2020-09-06 13:06:42.4571|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action uccApiCore2.Controllers.FabricController.GetAllFabric (uccApiCore2) in 126.5153ms 
2020-09-06 13:06:42.4571|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 141.5706ms 200 application/json; charset=utf-8 
2020-09-06 13:06:45.2423|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://localhost:5205/api/Fabric/GetAllFabricType/   
2020-09-06 13:06:45.2423|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-06 13:06:45.2423|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 6.2959ms 204  
2020-09-06 13:06:45.3695|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Fabric/GetAllFabricType/ application/json 12 
2020-09-06 13:06:45.3798|2|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Successfully validated the token. 
2020-09-06 13:06:45.3798|8|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|AuthenticationScheme: Bearer was successfully authenticated. 
2020-09-06 13:06:45.3798|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-06 13:06:45.4023|1|INFO|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|Authorization was successful. 
