2020-08-15 16:22:20.1910||DEBUG|uccApiCore2.Program|init main 
2020-08-15 16:22:32.2308||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\deepak raheja\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. 
2020-08-15 16:22:37.1818|22|WARN|Microsoft.AspNetCore.Server.Kestrel|Heartbeat took longer than "00:00:01" at "08/15/2020 10:52:37 +00:00". 
2020-08-15 16:22:38.3672|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 DEBUG http://localhost:5205/  0 
2020-08-15 16:22:38.3672|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5205/api/values   
2020-08-15 16:22:39.7130|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 1376.752ms 200  
2020-08-15 16:22:41.6493|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 3357.9884ms 404  
2020-08-15 17:19:37.0917|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Users/UserRegistration application/json 129 
2020-08-15 17:19:38.7123|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method uccApiCore2.Controllers.UsersController.UserRegistration (uccApiCore2) with arguments (uccApiCore2.Entities.Users) - ModelState is Valid 
2020-08-15 17:19:45.4072|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ObjectResultExecutor|Executing ObjectResult, writing value Microsoft.AspNetCore.Mvc.ControllerContext. 
2020-08-15 17:19:45.5610|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action uccApiCore2.Controllers.UsersController.UserRegistration (uccApiCore2) in 7809.7273ms 
2020-08-15 17:19:45.5912|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 8501.912ms 200 application/json; charset=utf-8 
2020-08-15 17:19:58.1556|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Users/UserRegistration application/json 129 
2020-08-15 17:19:58.1994|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method uccApiCore2.Controllers.UsersController.UserRegistration (uccApiCore2) with arguments (uccApiCore2.Entities.Users) - ModelState is Valid 
2020-08-15 17:20:03.9758||ERROR|uccApiCore2.Controllers.UsersController|Something went wrong inside UsersController UserRegistration action: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index 
2020-08-15 17:20:04.0020|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ObjectResultExecutor|Executing ObjectResult, writing value Microsoft.AspNetCore.Mvc.ControllerContext. 
2020-08-15 17:20:04.0020|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action uccApiCore2.Controllers.UsersController.UserRegistration (uccApiCore2) in 5827.6221ms 
2020-08-15 17:20:04.0020|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 5859.5306ms 200 application/json; charset=utf-8 
2020-08-15 17:21:15.0858|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Users/UserRegistration application/json 130 
2020-08-15 17:21:15.1329|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method uccApiCore2.Controllers.UsersController.UserRegistration (uccApiCore2) with arguments (uccApiCore2.Entities.Users) - ModelState is Valid 
2020-08-15 17:21:30.1490|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ObjectResultExecutor|Executing ObjectResult, writing value Microsoft.AspNetCore.Mvc.ControllerContext. 
2020-08-15 17:21:30.1706|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action uccApiCore2.Controllers.UsersController.UserRegistration (uccApiCore2) in 15037.0968ms 
2020-08-15 17:21:30.1957|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 15109.8903ms 200 application/json; charset=utf-8 
2020-08-15 17:38:19.3586|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://localhost:5205/api/Users/ValidLogin/   
2020-08-15 17:38:19.4270|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-08-15 17:38:19.4818|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 123.3174ms 204  
2020-08-15 17:38:19.4954|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Users/ValidLogin/ application/json 52 
2020-08-15 17:38:19.5019|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-08-15 17:38:19.5572|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method uccApiCore2.Controllers.UsersController.ValidLogin (uccApiCore2) with arguments (uccApiCore2.Entities.Users) - ModelState is Valid 
2020-08-15 17:38:20.1130|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ObjectResultExecutor|Executing ObjectResult, writing value Microsoft.AspNetCore.Mvc.ControllerContext. 
2020-08-15 17:38:20.1682|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action uccApiCore2.Controllers.UsersController.ValidLogin (uccApiCore2) in 638.76ms 
2020-08-15 17:38:20.1682|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 676.92ms 200 application/json; charset=utf-8 
2020-08-15 17:38:32.0140|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://localhost:5205/api/Product/GetAllProductBySupplierId/   
2020-08-15 17:38:32.0418|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://localhost:5205/api/Supplier/GetSupplier/   
2020-08-15 17:38:32.0418|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-08-15 17:38:32.0511|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-08-15 17:38:32.0511|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 20.1826ms 204  
2020-08-15 17:38:32.0676|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 51.9689ms 204  
2020-08-15 17:38:32.1332|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Product/GetAllProductBySupplierId/ application/json 16 
2020-08-15 17:38:32.2084|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Supplier/GetSupplier/ application/json 12 
2020-08-15 17:38:32.2685|2|INFO|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|Successfully validated the token. 
