2020-08-26 13:25:30.0683||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-08-26 16:09:31.2107||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-08-26 16:09:55.4845||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 16:17:25.6461||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 16:22:54.0341||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 16:33:45.6176||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 18:14:12.6178||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 18:14:12.6516||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 18:15:50.0792||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 20:48:21.1071||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 22:02:24.0758||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 22:02:24.1412||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 22:23:38.5139||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 22:23:38.5178||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
2020-08-26 22:26:08.3343||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBySubcatecode action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetProductBySubcatecode|action: GetProductBySubcatecode
