2020-09-08 10:29:58.8724||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-09-08 10:33:18.7421||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-09-08 10:34:22.0122||ERROR|uccApiCore2.Controllers.UsersController|Something went wrong inside UsersController ValidLogin action: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server) |url: http://localhost/api/Users/ValidLogin/|action: ValidLogin
2020-09-08 10:34:53.2113||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-09-08 10:35:41.5653||ERROR|uccApiCore2.Controllers.UsersController|Something went wrong inside UsersController ValidLogin action: A connection was successfully established with the server, but then an error occurred during the pre-login handshake. (provider: SSL Provider, error: 0 - The wait operation timed out.) |url: http://localhost/api/Users/ValidLogin/|action: ValidLogin
2020-09-08 10:35:46.1556||ERROR|uccApiCore2.Controllers.UsersController|Something went wrong inside UsersController ValidLogin action: A connection was successfully established with the server, but then an error occurred during the pre-login handshake. (provider: SSL Provider, error: 0 - The wait operation timed out.) |url: http://localhost/api/Users/ValidLogin/|action: ValidLogin
2020-09-08 10:36:06.9836||ERROR|uccApiCore2.Controllers.UsersController|Something went wrong inside UsersController ValidLogin action: Connection Timeout Expired.  The timeout period elapsed while attempting to consume the pre-login handshake acknowledgement.  This could be because the pre-login handshake failed or the server was unable to respond back in time.  The duration spent while attempting to connect to this server was - [Pre-Login] initialization=15087; handshake=9;  |url: http://localhost/api/Users/ValidLogin/|action: ValidLogin
2020-09-08 10:36:34.2979||ERROR|uccApiCore2.Controllers.UsersController|Something went wrong inside UsersController ValidLogin action: A connection was successfully established with the server, but then an error occurred during the pre-login handshake. (provider: SSL Provider, error: 0 - The wait operation timed out.) |url: http://localhost/api/Users/ValidLogin/|action: ValidLogin
2020-09-08 10:36:42.3058||ERROR|uccApiCore2.Controllers.UsersController|Something went wrong inside UsersController ValidLogin action: A connection was successfully established with the server, but then an error occurred during the pre-login handshake. (provider: SSL Provider, error: 0 - The wait operation timed out.) |url: http://localhost/api/Users/ValidLogin/|action: ValidLogin
2020-09-08 10:36:47.5483||ERROR|uccApiCore2.Controllers.UsersController|Something went wrong inside UsersController ValidLogin action: A connection was successfully established with the server, but then an error occurred during the pre-login handshake. (provider: SSL Provider, error: 0 - The wait operation timed out.) |url: http://localhost/api/Users/ValidLogin/|action: ValidLogin
2020-09-08 10:54:47.9423||DEBUG|uccApiCore2.Program|init main |url: |action: 
