2020-08-21 09:29:26.2419||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-08-21 10:25:15.7971||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-08-21 13:02:08.3410||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-08-21 13:03:28.6281||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBybyRowID action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetWithSetProductByRowID|action: GetWithSetProductByRowID
2020-08-21 13:03:28.6281||ERROR|uccApiCore2.Controllers.CartController|Something went wrong inside CartController GetCartById action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Cart/GetCartById|action: GetCartById
2020-08-21 13:03:31.0196||ERROR|uccApiCore2.Controllers.CartController|Something went wrong inside CartController GetCartById action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Cart/GetCartById|action: GetCartById
2020-08-21 13:04:29.5203||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetProductBybyRowID action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Product/GetWithSetProductByRowID|action: GetWithSetProductByRowID
2020-08-21 13:04:33.8742||ERROR|uccApiCore2.Controllers.CartController|Something went wrong inside CartController GetCartById action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Cart/GetCartById|action: GetCartById
2020-08-21 13:05:07.3210||ERROR|uccApiCore2.Controllers.CartController|Something went wrong inside CartController GetCartById action: One or more errors occurred. (A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)) |url: http://localhost/api/Cart/GetCartById|action: GetCartById
2020-08-21 13:05:07.9737||ERROR|uccApiCore2.Controllers.UsersController|Something went wrong inside UsersController ValidLogin action: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) |url: http://localhost/api/Users/ValidLogin/|action: ValidLogin
2020-08-21 13:05:07.9737||ERROR|uccApiCore2.Controllers.UsersController|Something went wrong inside UsersController ValidLogin action: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) |url: http://localhost/api/Users/ValidLogin/|action: ValidLogin
