2020-09-22 19:58:19.1893||DEBUG|uccApiCore2.Program|init main 
2020-09-22 19:58:24.0571||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\deepak raheja\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. 
2020-09-22 19:58:25.9743|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5205/api/values   
2020-09-22 19:58:25.9743|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 DEBUG http://localhost:5205/  0 
2020-09-22 19:58:26.3628|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 414.8745ms 200  
2020-09-22 19:58:27.1715|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 1247.4802ms 404  
2020-09-22 19:58:56.3425|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5205/api/Category/GetCategoryJson   
2020-09-22 19:58:58.8181|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 OPTIONS http://localhost:5205/api/Product/GetProductBySubcatecode   
2020-09-22 19:58:59.0346|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-22 19:58:59.0346|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-22 19:58:59.1585|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 340.4424ms 204  
2020-09-22 19:58:59.9849|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5205/api/Product/GetProductBySubcatecode application/json 29 
2020-09-22 19:59:00.1002|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. 
2020-09-22 19:59:00.7358|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method uccApiCore2.Controllers.CategoryController.GetCategoryJson (uccApiCore2) with arguments ((null)) - ModelState is Valid 
2020-09-22 19:59:00.9116|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ObjectResultExecutor|Executing ObjectResult, writing value Microsoft.AspNetCore.Mvc.ControllerContext. 
2020-09-22 19:59:01.0412|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action uccApiCore2.Controllers.CategoryController.GetCategoryJson (uccApiCore2) in 732.9648ms 
2020-09-22 19:59:01.0781|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 4736.3508ms 200 text/plain; charset=utf-8 
2020-09-22 19:59:02.4958|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method uccApiCore2.Controllers.ProductController.GetProductBySubcatecode (uccApiCore2) with arguments (uccApiCore2.Entities.Product) - ModelState is Valid 
2020-09-22 19:59:05.2068|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ObjectResultExecutor|Executing ObjectResult, writing value Microsoft.AspNetCore.Mvc.ControllerContext. 
2020-09-22 19:59:05.5669|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action uccApiCore2.Controllers.ProductController.GetProductBySubcatecode (uccApiCore2) in 5269.561ms 
2020-09-22 19:59:05.7105|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 5725.615ms 200 application/json; charset=utf-8 
2020-09-22 19:59:10.5773|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5205/ProductImage/15/frontImage/15-07302020113719-1.jpg   
