2020-08-13 12:34:36.5877||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-08-13 13:32:19.2282|22|WARN|Microsoft.AspNetCore.Server.Kestrel|Heartbeat took longer than "00:00:01" at "08/13/2020 08:01:22 +00:00". |url: |action: 
2020-08-13 13:32:19.2382||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CategoryController GetAllCategory action: Object reference not set to an instance of an object. |url: http://localhost/api/Category/GetAllCategory/|action: GetAllCategory
2020-08-13 13:32:28.9400||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CategoryController GetAllCategory action: Object reference not set to an instance of an object. |url: http://localhost/api/Category/GetAllCategory/|action: GetAllCategory
2020-08-13 13:34:03.7618||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CategoryController GetAllCategory action: Object reference not set to an instance of an object. |url: http://localhost/api/Category/GetAllCategory/|action: GetAllCategory
2020-08-13 13:34:08.8108||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CategoryController GetAllSubCategory action: Object reference not set to an instance of an object. |url: http://localhost/api/Category/GetAllSubCategory/|action: GetAllSubCategory
2020-08-13 13:37:07.7549||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CategoryController GetAllCategory action: Object reference not set to an instance of an object. |url: http://localhost/api/Category/GetAllCategory/|action: GetAllCategory
2020-08-13 13:37:08.8440||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CategoryController GetAllCategory action: Object reference not set to an instance of an object. |url: http://localhost/api/Category/GetAllCategory/|action: GetAllCategory
2020-08-13 13:37:13.4179||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CategoryController GetAllSubCategory action: Object reference not set to an instance of an object. |url: http://localhost/api/Category/GetAllSubCategory/|action: GetAllSubCategory
2020-08-13 13:37:18.5479||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CategoryController GetAllSubCategory action: Object reference not set to an instance of an object. |url: http://localhost/api/Category/GetAllSubCategory/|action: GetAllSubCategory
2020-08-13 15:04:07.2548||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController GetAllProductBySupplierId action: Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding. |url: http://localhost/api/Product/GetAllProductBySupplierId/|action: GetAllProductBySupplierId
2020-08-13 21:44:23.3340||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-08-13 21:49:28.9038||DEBUG|uccApiCore2.Program|init main |url: |action: 
